Your Council:<br>  ,Please select your organization type:<br>  ,Country:<br>  ,Rank 1, Please describe how it interlinks with your Council (optional):,Rank 2, Please describe how it interlinks with your Council (optional):,Rank 3, Please describe how it interlinks with your Council (optional):,Rank 4, Please describe how it interlinks with your Council (optional):,Rank 5, Please describe how it interlinks with your Council (optional):,Rank 1, Please describe how it interlinks with your Council (optional):,Rank 2, Please describe how it interlinks with your Council (optional):,Rank 3, Please describe how it interlinks with your Council (optional):,Rank 1, Please describe how it interlinks with your Council (optional):,Rank 2, Please describe how it interlinks with your Council (optional):,Rank 3, Please describe how it interlinks with your Council (optional):,,
Japan,Academia,United States of America,Geopolitical Risk,,Ageing,,Fiscal Crises,,Competitiveness,,Education,,China,,South-East Asia,,India,,Health,,Automotive,,Telecom,,,
Ecosystems & Biodiversity,International Organization,Japan,Climate Change,Deforestation and Forest Degradation is responsible for at least 17% of global GHG emissions.,Poverty & Economic Development,Loss of biodiversity and ecosystem degradation ni the tropics are directly linked with poverty.,International Legal System,"Enforcing environmental related conventions and agreements (CBD, UNCCD, UNFCCC, CITES, ITTA, Ramsar Convention, etc) is necessary to address ecosystem and biodiversity loss.",Ocean Governance,Destruction of coral reefs is a major issue in biodiversity loss,Education,,Africa,,Latin America,,South-East Asia,,"Aviation, Travel & Tourism",,Renewable Energy,,Consumer,,,
Innovation,Business,India,Competitiveness,,Emerging Technologies,,Skills & Talent Mobility,,Emerging Multinationals,,Climate Change,,North America,,Europe & Central Asia,,India,,"Media, Entertainment & Information",,Health,,Consumer,,,
Next Generation,NGO,Canada,Chronic Diseases & Well-being,Newborn and Child mortality are concerns of both.,Women’s Empowerment,"Since women are key to reducing death rates among children, and supporting the next generation.",Food Security,,Poverty & Economic Development,,Education,,Africa,,South-East Asia,,Latin America,,Health,,Telecom,,Logistics & Supply Chain,,,
Women’s Empowerment,Academia,United Arab Emirates,Competitiveness,,Emerging Multinationals,,Poverty & Economic Development,,Values,,Role of Business,,Middle East & North Africa,,North America,,South-East Asia,,"Media, Entertainment & Information",,Health,,Real Estate,,,
Informed Societies,Business,Canada,Emerging Technologies,In particular the Internet and Mobile technologies.,Innovation,,Future of Government,,Education,,Next Generation,,China,Tough to rank these.  North America and Europe are critical too... so I ranked by population in the developing world.,India,,Latin America,,"Media, Entertainment & Information",,Telecom,,Banking & Capital Markets,,,
Informed Societies,Academia,United States of America,Human Rights,Information is critical for the promotion and defense of human rights,Intellectual Property System,IP system is critical for the promotion of an informed society,Education,,Future of Government,,Emerging Technologies,,China,,North America,,Middle East & North Africa,,"Media, Entertainment & Information",,Telecom,,Consumer,,,
Skills & Talent Mobility,Academia,Japan,Innovation,,Competitiveness,,Employment & Social Protection,,Migration,,Education,,Europe & Central Asia,,North America,,China,,"Media, Entertainment & Information",,Health,,Consumer,,,
Informed Societies,NGO,Colombia,Future of Government,,Anti-Corruption,,Education,,Next Generation,,Values,,North America,,Latin America,,Europe & Central Asia,,"Media, Entertainment & Information",,Telecom,,Consumer,,,
Next Generation,Other,Nepal,Innovation,,Education,,,,,,,,Europe & Central Asia,,Africa,,South-East Asia,,,,,,,,,
Next Generation,International Organization,Liberia,Education,,Food Security,,Poverty & Economic Development,,Next Generation,,Innovation,,Africa,,China,,India,,Renewable Energy,,Banking & Capital Markets,,Health,,,
Innovation,Academia,United States of America,Role of Business,"Note that exc for this category, I am leaning towards non-obvious links where the innovation crowd doesn't usu hang out.",Fiscal Crises,there has been a studied lack of fresh thinking amidst the current crisis...,Catastrophic Risks,"We need radical new ways of approaching catastrophic risks, and my experience is that the folks looking at them are not terribly out-of-the-box.",Ocean Governance,"We are overdue for a fresh relook post-UNCLOS.  I also have expertise on the topic, so could combine innovation thinking w/understanding of issues",Climate Change,We are faced with a fundamental choice of how to respont to climate change: conservation v. geoengineering.  I think an innovation approach that encourages examination of unintended consequences of both is vital.,China,Would love to have interchange over China approaches to creativity,India,same for india,Africa,,Banking & Capital Markets,desperately need positive innovation (they already are good at negative innovation...),Mining & Metals,"valuable exchange about time frames of decisionmaking -- mining industries typ look 30 - 50 years out, and Innovation could learn from this.",Automotive,automotive is poised on the verge of fundamental change.  Comparing notes on innovation methods would be helpful.,,
Consumer,NGO,United Kingdom of Great Britain and Northern Ireland,Trade,,Next Generation,,Competitiveness,,Climate Change,,Innovation,,China,,South-East Asia,,Europe & Central Asia,,"Media, Entertainment & Information",,Health,,Renewable Energy,,,
Emerging Technologies,Business,Japan,Innovation,,Climate Change,,Ageing,,Energy Security,,Water Security,,North America,,China,,Africa,,Renewable Energy,,Automotive,,Health,,,
Food Security,Academia,Germany,Employment & Social Protection,,Geopolitical Risk,,Climate Change,,Poverty & Economic Development,,Water Security,,Africa,,India,,South-East Asia,,Consumer,,Logistics & Supply Chain,,Banking & Capital Markets,,,
Water Security,Business,United States of America,Food Security,,Climate Change,,Women’s Empowerment,,Ecosystems & Biodiversity,,Human Rights,,India,,China,,Africa,,Consumer,,Health,,Banking & Capital Markets,
Innovation,Government,Norway,Social Innovation,,Education,,Emerging Technologies,,Intellectual Property System,,Benchmarking Progress,,North America,,China,,India,,Banking & Capital Markets,,Health,,Renewable Energy,
Energy Security,International Organization,France,Climate Change,,Emerging Technologies,,Catastrophic Risks,,,,,,China,,India,,Middle East & North Africa,,Renewable Energy,,Mining & Metals,,,
Informed Societies,Business,Ghana,Next Generation,,Intellectual Property System,,Emerging Technologies,,Education,,Poverty & Economic Development,,Africa,Information has key role to play in  fostering and opening up the continent,China,,North America,,"Media, Entertainment & Information",,Private Fund Managers,,Telecom,
Ageing,Academia,Australia,Employment & Social Protection,"Older workers, pensions, social engagement",Chronic Diseases & Well-being,"preventative strategies, older population demands on services, risk factors",Human Rights,"Ageism, intergenerational relations, developing and mature economies",Values,"changing attitiudes to self in later life, purpose of a long life, ageism, intergenerational relationships",Innovation,"new services, roles and environments for  ageing societies",Europe & Central Asia,,North America,,China,,Consumer,,Health,,Logistics & Supply Chain,
"Media, Entertainment & Information",NGO,United States of America,Informed Societies,self evident,Climate Change,Changes in policy will require public education and advocacy through local media.,Women’s Empowerment,Media can accelerate the education and empowerment of women.,Humanitarian Assistance,Deploying local media is finally beginning to get the recognition it deserves in responding to humanitarian crises of all kinds. Local media are critical in getting the kinds of information people need in times of acute crises.,Anti-Corruption,You can't solve the corruption problem without the public transparency which only local media can provide.,China,,Middle East & North Africa,,Africa,,Telecom,"With mobile as king, the future of media depends on the telecoms.",Health,,Renewable Energy,
Competitiveness,Government,Canada,Innovation,Innovation is a key driver to increasing a country's productivity and thus its competitiveness.,Education,"Education is an essential aspect of country competitiveness and especially if a country is seeking to become/remain competitive in high value added industries (aeronautics, information technology, etc)",Skills & Talent Mobility,"When faced with a demographic challenge, as most developed economies are, talent mobility is essential to compensate for the increasing spread between new market entrants and retirements.",Next Generation,"Again linked with the demographic challenge, from an entrepreneurial perspective the next generation will need to be ever more competitive to maintain a country's wealth and push it upwards.",Future of Government,The changing world economic landscape has led to the need to redefine the role of government and its interactions with the private and not for profit sector to deliver public goods and social services.,North America,,Europe & Central Asia,,India,,Renewable Energy,"Increased environmental awareness has sparked a race to develop and commercialise ""green"" energy","Aviation, Travel & Tourism",these are high value added industries and help integrate a country into the global economy,"Media, Entertainment & Information",Especially information technology which is a key driver of productivity and consequently of competitiveness
Japan,Academia,Japan,Innovation,"Japan has tons to offer along technological innovation, especially with respect to emission control and energy savings.",Competitiveness,Japan still has a number of competitive industries and other nations can learn from how it became competitive.,Values,"Japanese companies are strong advocates of sharing core values within the firm, which have an impact on their mission and vision.",Women’s Empowerment,This is an area that Japan and Japanese companies are way  below the international norm.,Population Growth,"Another weak spot for Japan, with its decling birth rate.",China,,Korea,,India,,Automotive,,Banking & Capital Markets,,Logistics & Supply Chain,
Japan,Academia,Japan,Ageing,,Fiscal Crises,,Innovation,,Role of Business,,Design,,China,,North America,,Korea,,Automotive,,Renewable Energy,,Telecom,
Ecosystems & Biodiversity,Business,United Kingdom of Great Britain and Northern Ireland,Climate Change,,Food Security,,Energy Security,,Poverty & Economic Development,,Water Security,,South-East Asia,The largest funding flows and greatest potential for REDD activity at scale in the short term lies within Indonesia,Latin America,"A huge amount of innovative PES and REDD activities are happening here, together with some of the most biodiverse countries on the planet.",Africa,"Though less active, the sheer scale of governance challenge combined with biodiversity and biocarbon value of Congolese forests requires heavy attention.",Consumer,My rationale is that those sectors with highest land area impacts need most focus. These three (arguably)  link industry most directly to agriculture. land use and supply chains.,Logistics & Supply Chain,See above,Real Estate,See above
Internet Security,Business,United States of America,Anti-Corruption,"Protecting Digital Assets and Using ICT for Banking, Procurement etc. can greatly reduce corruption because it becomes trackable",Competitiveness,Facilitating secure business helps everyone compete more safely,Social Innovation,"Establishing secure ""Digital Citizens""  creates a level playing field for global innovation",Organized Crime,Preventing Crime from using technology reduces their sphere of operation.,International Monetary System,Secure communications are the basis of transacting globally.,Europe & Central Asia,Common Security Solutions can overcome many of the nationally imposed governance solutions,Africa,Getting people comfortable moving to an electronic economy will help establish financial sustainability,Latin America,Encouraging adoption of eBanking and other capabilities for SMB and Individuals.,Telecom,Telcos are quickly becoming the first line of defense for security including integration and service provisioning,Banking & Capital Markets,Making banking secure brings more customers and confidence,Consumer,Training consumers on safe usage and internet participation to help them improve.
Employment & Social Protection,NGO,United Kingdom of Great Britain and Northern Ireland,Education,,Competitiveness,,Ageing,,Fiscal Crises,,Migration,,Europe & Central Asia,,North America,,India,,Public & Institutional Investors,,Banking & Capital Markets,,Health,
