Summary weighted ranks,Ageing,Anti-Corruption,Benchmarking Progress,Catastrophic Risks,Chronic Diseases & Well-being,Climate Change,Competitiveness,Conflict Prevention,Design,Ecosystems & Biodiversity,Education,Emerging Multinationals,Emerging Technologies,Employment & Social Protection,Energy Security,Fiscal Crises,Food Security,Fragile States,Future of Government,Geopolitical Risk,Human Rights,Humanitarian Assistance,Illicit Trade,Informed Societies,Innovation,Institutional Governance Systems,Intellectual Property System,International Legal System,International Monetary System,Internet Security,Migration,Next Generation,Ocean Governance,Organized Crime,Population Growth,Poverty & Economic Development,Role of Business,Skills & Talent Mobility,Social Innovation,Space Security,Systemic Financial Risk,Terrorism,Trade,Urbanization,Values,Water Security,Weapons of Mass Destruction,Women’s Empowerment,Africa,China,Europe & Central Asia,India,Japan,Korea,Latin America,Middle East & North Africa,North America,South-East Asia,Automotive,"Aviation, Travel & Tourism",Banking & Capital Markets,Consumer,Health,Insurance & Asset Management,Logistics & Supply Chain,"Media, Entertainment & Information",Mining & Metals,Private Fund Managers,Public & Institutional Investors,Real Estate,Renewable Energy,Telecom
Ageing,0,0,0,0,0.793333333,0,0,0,0,0,0,0,0.066666667,0.36,0,0,0,0,0,0,0.28,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0.26,0.393333333,0,0.08,0.1,0,0,0,0,0,0,0,0,0,0.133333333,0.753333333,0.326666667,0.1,0.16,0,0.12,0.06,0.246666667,0,0,0,0.06,0.262857143,0.862857143,0.271428571,0.042857143,0.22,0,0,0,0.06,0,0.12
Anti-Corruption,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.16,0.16,0.12,0.16,0,0.36,0.16,0,0.2,0,0,0,0,0,0,0,0.12,0,0.44,0.32,0,0,0,0,0,0,0,0,0,0,0,0.8,0.3,0.12,0.06,0,0,0.5,0,0.06,0.06,0,0.1,0.12,0,0,0,0.34,0,0.8,0.12,0.32,0,0,0.1
Benchmarking Progress,0,0,0,0.1,0.325,0,0.25,0,0,0,0,0,0,0.3,0,0,0,0.075,0.175,0,0.075,0,0,0.1,0,0.075,0,0,0,0,0,0,0,0,0,0.6,0,0,0.175,0,0,0,0,0,0.15,0,0,0,0.666666667,0,0.383333333,0.1,0.1,0,0.2,0.1,0.15,0.2,0,0,0.06,0.457142857,0.602857143,0.06,0,0.488571429,0,0,0,0,0.231428571,0
Catastrophic Risks,0,0,0,0,0,0.533333333,0,0.088888889,0,0,0.066666667,0,0.111111111,0,0.066666667,0.2,0.111111111,0,0.088888889,0.133333333,0,0.177777778,0,0,0,0.155555556,0,0,0,0,0,0,0,0,0.088888889,0.111111111,0,0,0,0,0,0,0,0.222222222,0,0.155555556,0.088888889,0,0.3875,0.6125,0.125,0.1625,0,0,0.3125,0.15,0.075,0.075,0,0.15,0.376190476,0,0.117857143,0.222222222,0.415079365,0.117857143,0.042857143,0,0.222222222,0.042857143,0.15,0.042857143
Chronic Diseases & Well-being,0.34,0,0.1,0,0,0.08,0.16,0,0,0,0.2,0,0.14,0,0,0,0,0,0.06,0,0,0,0,0.08,0.46,0,0,0,0,0,0,0.06,0,0,0,0.36,0.06,0,0.22,0,0,0,0,0,0,0,0,0.08,0,0.42,0.22,0.4,0,0,0.36,0.22,0.22,0.06,0,0,0.033333333,0.5,0.493333333,0.186666667,0,0.473333333,0,0,0.06,0,0,0.153333333
Climate Change,0.114285714,0.085714286,0,0.114285714,0,0.142857143,0,0,0,0,0,0,0.114285714,0,0.142857143,0,0.085714286,0,0.171428571,0,0,0,0,0,0.285714286,0.114285714,0,0,0,0,0,0.085714286,0,0,0.171428571,0,0.257142857,0,0,0,0.114285714,0,0,0,0,0.4,0,0,0.135714286,0.942857143,0.1,0.342857143,0.085714286,0,0.05,0,0.192857143,0.05,0.185714286,0.471428571,0.214285714,0,0.042857143,0.085714286,0,0.042857143,0.085714286,0.142857143,0.085714286,0,0.542857143,0
Competitiveness,0.125,0,0.125,0,0,0,0,0,0,0,0.325,0,0.275,0,0,0.1,0,0,0.125,0,0,0,0,0.1,0.525,0.075,0,0,0,0,0,0,0,0,0,0.225,0.075,0.175,0,0,0,0,0.15,0,0,0,0,0,0.0375,0.575,0.35,0.275,0,0,0.15,0.2,0.275,0.0375,0,0.1125,0.225,0,0.25,0,0.4,0.1625,0.0375,0.075,0,0,0.4875,0.15
Conflict Prevention,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,0.6,0,0,0,0.3,0,0.6,0,0,0,0,0,0,0,1,0
Design,0.138461538,0,0,0,0,0.123076923,0.153846154,0,0,0.107692308,0.276923077,0,0.153846154,0,0.061538462,0,0,0,0.107692308,0,0,0.061538462,0,0,0.507692308,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0.323076923,0,0,0,0,0.184615385,0.046153846,0,0,0,0.366666667,0.675,0.025,0.366666667,0.025,0.05,0.075,0,0.266666667,0.05,0.266666667,0.025,0.05,0.458333333,0.383333333,0,0.025,0.15,0,0.025,0.025,0.133333333,0.358333333,0
Ecosystems & Biodiversity,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.15,0,0.35,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.2,0,0,0.45,0.2,0,0,0,0,0,0,0,0,0,0,0,0.475,0.225,0,0,0.075,0,0.55,0,0.25,0.325,0,0.4,0.15,0.575,0,0,0.15,0,0.075,0,0,0.075,0.475,0
